PassengerId,Name,Sex,Age,Pclass,Parch,Ticket,Fare,Cabin,Embarked,Survived,BookingDate
112,"Williams, Miss. Elizabeth",female,16.5,2,0,111197,29.35,Unknown,S,1,1912-04-03
81,"Baker, Mrs. Helen",female,25.5,1,0,331855,126.75,D67,S,0,1912-04-28
128,"Wright, Mr. Andrew",male,25.5,1,0,213020,66.47,D35,Unknown,0,1912-04-18
99,"Wright, Master. Arthur",male,49.5,3,0,256842,10.04,Unknown,Unknown,0,1912-10-04
53,"Wilson, Master. Robert",male,14.6,2,0,172547,36.76,Unknown,S,1,1912-10-03
2,"Walker, Mr. Albert",male,27.3,1,0,245852,49.12,Unknown,S,1,1912-04-21
171,"Harris, Mrs. Alice",female,47.0,1,0,282150,63.21,G41,Q,1,1912-04-15
35,"Phillips, Mrs. Elizabeth",female,15.6,3,0,293575,8.18,Unknown,S,0,1912-04-07
283,"King, Mrs. Sarah",female,29.2,1,0,260174,49.91,A51,S,1,1912-04-16
106,"Turner, Master. Joseph",male,25.5,3,0,107297,13.49,Unknown,C,0,1912-03-17
107,"Mitchell, Master. Thomas",male,25.5,3,0,347189,6.67,Unknown,S,0,1912-02-03
203,"Walker, Mr. Robert",male,27.2,3,1,191784,7.27,Unknown,S,0,1912-03-27
140,"Johnson, Mr. Fred",male,25.5,2,1,144212,43.82,Unknown,C,0,1912-02-04
109,"Clark, Master. John",male,48.0,1,0,383216,67.74,C86,S,0,1912-03-27
254,"Moore, Master. Thomas",male,23.3,2,0,386066,19.16,Unknown,S,1,1912-12-03
115,"Smith, Mr. James",male,38.8,1,1,239129,55.92,Unknown,S,1,1912-04-03
155,"Smith, Mrs. Mary",female,38.2,2,1,376704,54.98,Unknown,S,1,1912-03-28
48,"Wilson, Miss. Helen",female,55.3,1,0,138182,58.25,E99,S,1,1912-03-30
190,"Carter, Master. William",male,25.5,1,0,267001,46.76,C79,S,1,1912-11-03
94,"Young, Master. Thomas",male,31.2,1,0,299234,66.28,G69,C,1,1912-03-21
89,"Turner, Mr. Albert",male,25.5,3,1,278192,16.05,Unknown,C,0,1912-04-29
192,"Hall, Master. Michael",male,25.5,2,1,113970,10.46,Unknown,C,0,1912-04-08
261,"Mitchell, Mr. Robert",male,0.5,2,0,338725,15.5,Unknown,S,0,1912-04-20
25,"Jones, Miss. Agnes",female,33.8,2,0,384266,32.62,Unknown,S,1,1912-04-03
294,"Anderson, Mrs. Agnes",female,25.5,1,0,271311,87.77,Unknown,Q,0,1912-03-26
