PassengerId,Name,Sex,Age,Pclass,Parch,Ticket,Fare,Cabin,Embarked,Survived,BookingDate
112,"  Williams, Miss. Elizabeth  ",female,16.5,2,0,111197,29.35,,S,Y,04/03/1912
81,"Baker, Mrs. Helen",female,,1,0,331855,$126.75,D67,Southampton,0,28/04/1912
128,"WRIGHT, MR. ANDREW",M,,1,0,213020,66.47,D35,,0,04-18-1912
99,"Wright, Master. Arthur",M,49.5,3,0,256842,10.04,,,0,10/04/1912
53,"Wilson, Master. Robert",male,14.6,2,0,172547,36.76,,s,Yes,10/03/1912
2,"Walker, Mr. Albert",male,27.3,1,0,245852,49.12,,s,1,04-21-1912
171,"HARRIS, MRS. ALICE",Female,47,1,0,282150,"63,21",G41,Q,1,15/04/1912
35,"PHILLIPS, MRS. ELIZABETH",female,15.6,3,0,293575,8.18 USD,,Southampton,0,"April 07, 1912"
283,"King, Mrs. Sarah",female,29.2,1,0,260174,49.91,A51,s,1,16/04/1912
106,"  Turner, Master. Joseph  ",male,,3,0,107297,13.49 USD,,c,0,03-17-1912
107,"Mitchell, Master. Thomas",M,,3,0,347189,6.67,,S,0,02/03/1912
203,"  Walker, Mr. Robert  ",male,27.2,3,1,191784,7.27 USD,,Southampton,0,27/03/1912
140,"  Johnson, Mr. Fred  ",male,,2,1,144212,43.82,,C,0,02/04/1912
109,"clark, master. john",male,48,1,0,383216,67.74,C86,s,No,03-27-1912
254,"Moore, Master. Thomas",male,23.3,2nd,0,386066,$19.16,,Southampton,1,12/03/1912
115,"Smith, Mr. James",male,38.8,1st,1,239129,55.92,,Southampton,Y,04/03/1912
155,"Smith, Mrs. Mary",FEMALE,38.2,2,1,376704,54.98,,Southampton,1,03-28-1912
48,"Wilson, Miss. Helen",female,55.3,1,0,138182,58.25 USD,E99,S,1,30/03/1912
190,"CARTER, MASTER. WILLIAM",male,,1,0,267001,46.76,C79,s,1,11/03/1912
94,"Young, Master. Thomas",MALE,31.2,1,0,299234,66.28,G69,Cherbourg,1,21/03/1912
89,"Turner, Mr. Albert",M,,3,1,278192,16.05,,C,N,29/04/1912
